Name,Phys +0,Mag +0,Fire +0,Ligh +0,Holy +0,Stam +0,Phys +1,Mag +1,Fire +1,Ligh +1,Holy +1,Stam +1,Phys +2,Mag +2,Fire +2,Ligh +2,Holy +2,Stam +2,Phys +3,Mag +3,Fire +3,Ligh +3,Holy +3,Stam +3,Phys +4,Mag +4,Fire +4,Ligh +4,Holy +4,Stam +4,Phys +5,Mag +5,Fire +5,Ligh +5,Holy +5,Stam +5,Phys +6,Mag +6,Fire +6,Ligh +6,Holy +6,Stam +6,Phys +7,Mag +7,Fire +7,Ligh +7,Holy +7,Stam +7,Phys +8,Mag +8,Fire +8,Ligh +8,Holy +8,Stam +8,Phys +9,Mag +9,Fire +9,Ligh +9,Holy +9,Stam +9,Phys +10,Mag +10,Fire +10,Ligh +10,Holy +10,Stam +10,Phys +11,Mag +11,Fire +11,Ligh +11,Holy +11,Stam +11,Phys +12,Mag +12,Fire +12,Ligh +12,Holy +12,Stam +12,Phys +13,Mag +13,Fire +13,Ligh +13,Holy +13,Stam +13,Phys +14,Mag +14,Fire +14,Ligh +14,Holy +14,Stam +14,Phys +15,Mag +15,Fire +15,Ligh +15,Holy +15,Stam +15,Phys +16,Mag +16,Fire +16,Ligh +16,Holy +16,Stam +16,Phys +17,Mag +17,Fire +17,Ligh +17,Holy +17,Stam +17,Phys +18,Mag +18,Fire +18,Ligh +18,Holy +18,Stam +18,Phys +19,Mag +19,Fire +19,Ligh +19,Holy +19,Stam +19,Phys +20,Mag +20,Fire +20,Ligh +20,Holy +20,Stam +20,Phys +21,Mag +21,Fire +21,Ligh +21,Holy +21,Stam +21,Phys +22,Mag +22,Fire +22,Ligh +22,Holy +22,Stam +22,Phys +23,Mag +23,Fire +23,Ligh +23,Holy +23,Stam +23,Phys +24,Mag +24,Fire +24,Ligh +24,Holy +24,Stam +24,Phys +25,Mag +25,Fire +25,Ligh +25,Holy +25,Stam +25
Dagger,74,0,0,0,0,30,78.292,0,0,0,0,31.2,82.584,0,0,0,0,32.4,86.876,0,0,0,0,33.6,91.168,0,0,0,0,34.8,95.46,0,0,0,0,36,99.752,0,0,0,0,37.2,104.044,0,0,0,0,38.4,108.336,0,0,0,0,39.6,112.628,0,0,0,0,40.8,116.92,0,0,0,0,42,121.212,0,0,0,0,43.2,125.504,0,0,0,0,44.4,129.796,0,0,0,0,45.6,134.088,0,0,0,0,46.8,138.38,0,0,0,0,48,142.672,0,0,0,0,49.2,146.964,0,0,0,0,50.4,151.256,0,0,0,0,51.6,155.548,0,0,0,0,52.8,159.84,0,0,0,0,54,164.132,0,0,0,0,55.2,168.424,0,0,0,0,56.4,172.716,0,0,0,0,57.6,177.008,0,0,0,0,58.8,181.3,0,0,0,0,60
Heavy Dagger,67.45,0,0,0,0,30,71.426,0,0,0,0,31.2,75.402,0,0,0,0,32.4,79.378,0,0,0,0,33.6,83.354,0,0,0,0,34.8,87.33,0,0,0,0,36,91.306,0,0,0,0,37.2,95.282,0,0,0,0,38.4,99.258,0,0,0,0,39.6,103.234,0,0,0,0,40.8,107.21,0,0,0,0,42,111.186,0,0,0,0,43.2,115.162,0,0,0,0,44.4,119.138,0,0,0,0,45.6,123.114,0,0,0,0,46.8,127.09,0,0,0,0,48,131.066,0,0,0,0,49.2,135.042,0,0,0,0,50.4,139.018,0,0,0,0,51.6,142.994,0,0,0,0,52.8,146.97,0,0,0,0,54,150.946,0,0,0,0,55.2,154.922,0,0,0,0,56.4,158.898,0,0,0,0,57.6,162.874,0,0,0,0,58.8,166.85,0,0,0,0,60
Keen Dagger,67.45,0,0,0,0,28.5,71,0,0,0,0,30,74.55,0,0,0,0,31.5,78.1,0,0,0,0,33,81.65,0,0,0,0,34.5,85.2,0,0,0,0,36,88.75,0,0,0,0,37.5,92.3,0,0,0,0,39,95.85,0,0,0,0,40.5,99.4,0,0,0,0,42,102.95,0,0,0,0,43.5,106.5,0,0,0,0,45,110.05,0,0,0,0,46.5,113.6,0,0,0,0,48,117.15,0,0,0,0,49.5,120.7,0,0,0,0,51,124.25,0,0,0,0,52.5,127.8,0,0,0,0,54,131.35,0,0,0,0,55.5,134.9,0,0,0,0,57,138.45,0,0,0,0,58.5,142,0,0,0,0,60,145.55,0,0,0,0,61.5,149.1,0,0,0,0,63,152.65,0,0,0,0,64.5,156.2,0,0,0,0,66
Quality Dagger,63.9,0,0,0,0,30,67.166,0,0,0,0,31.2,70.432,0,0,0,0,32.4,73.698,0,0,0,0,33.6,76.964,0,0,0,0,34.8,80.23,0,0,0,0,36,83.496,0,0,0,0,37.2,86.762,0,0,0,0,38.4,90.028,0,0,0,0,39.6,93.294,0,0,0,0,40.8,96.56,0,0,0,0,42,99.826,0,0,0,0,43.2,103.092,0,0,0,0,44.4,106.358,0,0,0,0,45.6,109.624,0,0,0,0,46.8,112.89,0,0,0,0,48,116.156,0,0,0,0,49.2,119.422,0,0,0,0,50.4,122.688,0,0,0,0,51.6,125.954,0,0,0,0,52.8,129.22,0,0,0,0,54,132.486,0,0,0,0,55.2,135.752,0,0,0,0,56.4,139.018,0,0,0,0,57.6,142.284,0,0,0,0,58.8,145.55,0,0,0,0,60
Fire Dagger,56.8,0,56.8,0,0,30,59.356,0,59.356,0,0,31.2,61.912,0,61.912,0,0,32.4,64.468,0,64.468,0,0,33.6,67.024,0,67.024,0,0,34.8,69.58,0,69.58,0,0,36,72.136,0,72.136,0,0,37.2,74.692,0,74.692,0,0,38.4,77.248,0,77.248,0,0,39.6,79.804,0,79.804,0,0,40.8,82.36,0,82.36,0,0,42,84.916,0,84.916,0,0,43.2,87.472,0,87.472,0,0,44.4,90.028,0,90.028,0,0,45.6,92.584,0,92.584,0,0,46.8,95.14,0,95.14,0,0,48,97.696,0,97.696,0,0,49.2,100.252,0,100.252,0,0,50.4,102.808,0,102.808,0,0,51.6,105.364,0,105.364,0,0,52.8,107.92,0,107.92,0,0,54,110.476,0,110.476,0,0,55.2,113.032,0,113.032,0,0,56.4,115.588,0,115.588,0,0,57.6,118.144,0,118.144,0,0,58.8,120.7,0,120.7,0,0,60
Flame Art Dagger,60.35,0,60.35,0,0,30,63.474,0,63.474,0,0,31.2,66.598,0,66.598,0,0,32.4,69.722,0,69.722,0,0,33.6,72.846,0,72.846,0,0,34.8,75.97,0,75.97,0,0,36,79.094,0,79.094,0,0,37.2,82.218,0,82.218,0,0,38.4,85.342,0,85.342,0,0,39.6,88.466,0,88.466,0,0,40.8,91.59,0,91.59,0,0,42,94.714,0,94.714,0,0,43.2,97.838,0,97.838,0,0,44.4,100.962,0,100.962,0,0,45.6,104.086,0,104.086,0,0,46.8,107.21,0,107.21,0,0,48,110.334,0,110.334,0,0,49.2,113.458,0,113.458,0,0,50.4,116.582,0,116.582,0,0,51.6,119.706,0,119.706,0,0,52.8,122.83,0,122.83,0,0,54,125.954,0,125.954,0,0,55.2,129.078,0,129.078,0,0,56.4,132.202,0,132.202,0,0,57.6,135.326,0,135.326,0,0,58.8,138.45,0,138.45,0,0,60
Lightning Dagger,56.8,0,0,56.8,0,30,59.356,0,0,59.356,0,31.2,61.912,0,0,61.912,0,32.4,64.468,0,0,64.468,0,33.6,67.024,0,0,67.024,0,34.8,69.58,0,0,69.58,0,36,72.136,0,0,72.136,0,37.2,74.692,0,0,74.692,0,38.4,77.248,0,0,77.248,0,39.6,79.804,0,0,79.804,0,40.8,82.36,0,0,82.36,0,42,84.916,0,0,84.916,0,43.2,87.472,0,0,87.472,0,44.4,90.028,0,0,90.028,0,45.6,92.584,0,0,92.584,0,46.8,95.14,0,0,95.14,0,48,97.696,0,0,97.696,0,49.2,100.252,0,0,100.252,0,50.4,102.808,0,0,102.808,0,51.6,105.364,0,0,105.364,0,52.8,107.92,0,0,107.92,0,54,110.476,0,0,110.476,0,55.2,113.032,0,0,113.032,0,56.4,115.588,0,0,115.588,0,57.6,118.144,0,0,118.144,0,58.8,120.7,0,0,120.7,0,60
Sacred Dagger,53.25,0,0,0,53.25,30,56.658,0,0,0,56.658,31.2,60.066,0,0,0,60.066,32.4,63.474,0,0,0,63.474,33.6,66.882,0,0,0,66.882,34.8,70.29,0,0,0,70.29,36,73.698,0,0,0,73.698,37.2,77.106,0,0,0,77.106,38.4,80.514,0,0,0,80.514,39.6,83.922,0,0,0,83.922,40.8,87.33,0,0,0,87.33,42,90.738,0,0,0,90.738,43.2,94.146,0,0,0,94.146,44.4,97.554,0,0,0,97.554,45.6,100.962,0,0,0,100.962,46.8,104.37,0,0,0,104.37,48,107.778,0,0,0,107.778,49.2,111.186,0,0,0,111.186,50.4,114.594,0,0,0,114.594,51.6,118.002,0,0,0,118.002,52.8,121.41,0,0,0,121.41,54,124.818,0,0,0,124.818,55.2,128.226,0,0,0,128.226,56.4,131.634,0,0,0,131.634,57.6,135.042,0,0,0,135.042,58.8,138.45,0,0,0,138.45,60
Magic Dagger,53.25,53.25,0,0,0,30,56.658,56.658,0,0,0,31.2,60.066,60.066,0,0,0,32.4,63.474,63.474,0,0,0,33.6,66.882,66.882,0,0,0,34.8,70.29,70.29,0,0,0,36,73.698,73.698,0,0,0,37.2,77.106,77.106,0,0,0,38.4,80.514,80.514,0,0,0,39.6,83.922,83.922,0,0,0,40.8,87.33,87.33,0,0,0,42,90.738,90.738,0,0,0,43.2,94.146,94.146,0,0,0,44.4,97.554,97.554,0,0,0,45.6,100.962,100.962,0,0,0,46.8,104.37,104.37,0,0,0,48,107.778,107.778,0,0,0,49.2,111.186,111.186,0,0,0,50.4,114.594,114.594,0,0,0,51.6,118.002,118.002,0,0,0,52.8,121.41,121.41,0,0,0,54,124.818,124.818,0,0,0,55.2,128.226,128.226,0,0,0,56.4,131.634,131.634,0,0,0,57.6,135.042,135.042,0,0,0,58.8,138.45,138.45,0,0,0,60
Cold Dagger,60.35,51,0,0,0,30,63.048,53.28,0,0,0,31.2,65.746,55.56,0,0,0,32.4,68.444,57.84,0,0,0,33.6,71.142,60.12,0,0,0,34.8,73.84,62.4,0,0,0,36,76.538,64.68,0,0,0,37.2,79.236,66.96,0,0,0,38.4,81.934,69.24,0,0,0,39.6,84.632,71.52,0,0,0,40.8,87.33,73.8,0,0,0,42,90.028,76.08,0,0,0,43.2,92.726,78.36,0,0,0,44.4,95.424,80.64,0,0,0,45.6,98.122,82.92,0,0,0,46.8,100.82,85.2,0,0,0,48,103.518,87.48,0,0,0,49.2,106.216,89.76,0,0,0,50.4,108.914,92.04,0,0,0,51.6,111.612,94.32,0,0,0,52.8,114.31,96.6,0,0,0,54,117.008,98.88,0,0,0,55.2,119.706,101.16,0,0,0,56.4,122.404,103.44,0,0,0,57.6,125.102,105.72,0,0,0,58.8,127.8,108,0,0,0,60
