Name,Physical,Magic,Fire,Lightning,Holy,AttackElementCorrect ID
Dagger,0,0,0,0,0,10000
Heavy Dagger,1,0,0,0,0,10000
Keen Dagger,2,0,0,0,0,10000
Quality Dagger,8,0,0,0,0,10000
Fire Dagger,0,0,4,0,0,10005
Flame Art Dagger,0,0,4,0,0,10000
Lightning Dagger,0,0,0,4,0,10000
Sacred Dagger,0,0,0,0,4,10000
Magic Dagger,0,4,0,0,0,10000
Cold Dagger,0,0,0,0,0,10000
Poison Dagger,0,0,0,0,0,10013
Blood Dagger,0,0,0,0,0,10013
Occult Dagger,7,0,0,0,0,10013
Black Knife,0,0,0,0,4,10000
Parrying Dagger,0,0,0,0,0,10000
Heavy Parrying Dagger,1,0,0,0,0,10000
Keen Parrying Dagger,2,0,0,0,0,10000
Quality Parrying Dagger,8,0,0,0,0,10000
Fire Parrying Dagger,0,0,4,0,0,10005
Flame Art Parrying Dagger,0,0,4,0,0,10000
Lightning Parrying Dagger,0,0,0,4,0,10000
Sacred Parrying Dagger,0,0,0,0,4,10000
Magic Parrying Dagger,0,4,0,0,0,10000
Cold Parrying Dagger,0,0,0,0,0,10000
Poison Parrying Dagger,0,0,0,0,0,10013
Blood Parrying Dagger,0,0,0,0,0,10013
Occult Parrying Dagger,7,0,0,0,0,10013
Misericorde,0,0,0,0,0,10000
Heavy Misericorde,1,0,0,0,0,10000
Keen Misericorde,2,0,0,0,0,10000
Quality Misericorde,8,0,0,0,0,10000
Fire Misericorde,0,0,4,0,0,10005
Flame Art Misericorde,0,0,4,0,0,10000
Lightning Misericorde,0,0,0,4,0,10000
Sacred Misericorde,0,0,0,0,4,10000
Magic Misericorde,0,4,0,0,0,10000
Cold Misericorde,0,0,0,0,0,10000
Poison Misericorde,0,0,0,0,0,10013
Blood Misericorde,0,0,0,0,0,10013
Occult Misericorde,7,0,0,0,0,10013
Reduvia,7,0,0,0,0,10013
Crystal Knife,0,0,0,0,0,10000
Celebrant's Sickle,0,0,0,0,0,10000
Celebrant's Heavy Sickle,1,0,0,0,0,10000
Celebrant's Keen Sickle,2,0,0,0,0,10000
Celebrant's Quality Sickle,8,0,0,0,0,10000
Celebrant's Fire Sickle,0,0,4,0,0,10005
Celebrant's Flame Art Sickle,0,0,4,0,0,10000
Celebrant's Lightning Sickle,0,0,0,4,0,10000
Celebrant's Sacred Sickle,0,0,0,0,4,10000
Celebrant's Magic Sickle,0,4,0,0,0,10000
Celebrant's Cold Sickle,0,0,0,0,0,10000
Celebrant's Poison Sickle,0,0,0,0,0,10013
Celebrant's Blood Sickle,0,0,0,0,0,10013
Celebrant's Occult Sickle,7,0,0,0,0,10013
Glintstone Kris,0,4,0,0,0,10000
Scorpion's Stinger,0,0,0,0,0,10000
Great Knife,0,0,0,0,0,10000
Heavy Great Knife,1,0,0,0,0,10000
Keen Great Knife,2,0,0,0,0,10000
Quality Great Knife,8,0,0,0,0,10000
Fire Great Knife,0,0,4,0,0,10005
Flame Art Great Knife,0,0,4,0,0,10000
Lightning Great Knife,0,0,0,4,0,10000
Sacred Great Knife,0,0,0,0,4,10000
Magic Great Knife,0,4,0,0,0,10000
Cold Great Knife,0,0,0,0,0,10000
Poison Great Knife,0,0,0,0,0,10013
Blood Great Knife,0,0,0,0,0,10013
Occult Great Knife,7,0,0,0,0,10013
Wakizashi,0,0,0,0,0,10000
Heavy Wakizashi,1,0,0,0,0,10000
Keen Wakizashi,2,0,0,0,0,10000
Quality Wakizashi,8,0,0,0,0,10000
Fire Wakizashi,0,0,4,0,0,10005
Flame Art Wakizashi,0,0,4,0,0,10000
Lightning Wakizashi,0,0,0,4,0,10000
Sacred Wakizashi,0,0,0,0,4,10000
Magic Wakizashi,0,4,0,0,0,10000
Cold Wakizashi,0,0,0,0,0,10000
Poison Wakizashi,0,0,0,0,0,10013
Blood Wakizashi,0,0,0,0,0,10013
Occult Wakizashi,7,0,0,0,0,10013
Cinquedea,0,0,0,0,0,10000
Ivory Sickle,0,4,0,0,0,10000
Bloodstained Dagger,0,0,0,0,0,10000
Heavy Bloodstained Dagger,1,0,0,0,0,10000
Keen Bloodstained Dagger,2,0,0,0,0,10000
Quality Bloodstained Dagger,8,0,0,0,0,10000
Fire Bloodstained Dagger,0,0,4,0,0,10005
Flame Art Bloodstained Dagger,0,0,4,0,0,10000
Lightning Bloodstained Dagger,0,0,0,4,0,10000
Sacred Bloodstained Dagger,0,0,0,0,4,10000
Magic Bloodstained Dagger,0,4,0,0,0,10000
Cold Bloodstained Dagger,0,0,0,0,0,10000
Poison Bloodstained Dagger,0,0,0,0,0,10013
Blood Bloodstained Dagger,0,0,0,0,0,10013
Occult Bloodstained Dagger,7,0,0,0,0,10013
Erdsteel Dagger,0,0,0,0,0,12000
Heavy Erdsteel Dagger,1,0,0,0,0,12000
Keen Erdsteel Dagger,2,0,0,0,0,12000
Quality Erdsteel Dagger,8,0,0,0,0,12000
Fire Erdsteel Dagger,0,0,4,0,0,12005
Flame Art Erdsteel Dagger,0,0,4,0,0,12000
Lightning Erdsteel Dagger,0,0,0,4,0,12000
Sacred Erdsteel Dagger,0,0,0,0,4,12000
Magic Erdsteel Dagger,0,4,0,0,0,12000
Cold Erdsteel Dagger,0,0,0,0,0,12000
Poison Erdsteel Dagger,0,0,0,0,0,12005
Blood Erdsteel Dagger,0,0,0,0,0,12005
Occult Erdsteel Dagger,7,0,0,0,0,12005
Blade of Calling,0,0,0,0,4,10000
Longsword,0,0,0,0,0,10000
Heavy Longsword,1,0,0,0,0,10000
Keen Longsword,2,0,0,0,0,10000
Quality Longsword,8,0,0,0,0,10000
Fire Longsword,0,0,4,0,0,10005
Flame Art Longsword,0,0,4,0,0,10000
Lightning Longsword,0,0,0,4,0,10000
Sacred Longsword,0,0,0,0,4,10000
Magic Longsword,0,4,0,0,0,10000
Cold Longsword,0,4,0,0,0,10000
Poison Longsword,0,0,0,0,0,10013
Bloody Longsword,0,0,0,0,0,10013
Occult Longsword,7,0,0,0,0,10013
Short Sword,0,0,0,0,0,10000
Heavy Short Sword,1,0,0,0,0,10000
Keen Short Sword,2,0,0,0,0,10000
Quality Short Sword,8,0,0,0,0,10000
Fire Short Sword,0,0,4,0,0,10005
Flame Art Short Sword,0,0,4,0,0,10000
Lightning Short Sword,0,0,0,4,0,10000
Sacred Short Sword,0,0,0,0,4,10000
Magic Short Sword,0,4,0,0,0,10000
Cold Short Sword,0,4,0,0,0,10000
Poison Short Sword,0,0,0,0,0,10013
Blood Short Sword,0,0,0,0,0,10013
Occult Short Sword,7,0,0,0,0,10013
Broadsword,0,0,0,0,0,10000
Heavy Broadsword,1,0,0,0,0,10000
Keen Broadsword,2,0,0,0,0,10000
Quality Broadsword,8,0,0,0,0,10000
Fire Broadsword,0,0,4,0,0,10005
Flame Art Broadsword,0,0,4,0,0,10000
Lightning Broadsword,0,0,0,4,0,10000
Sacred Broadsword,0,0,0,0,4,10000
Magic Broadsword,0,4,0,0,0,10000
Cold Broadsword,0,4,0,0,0,10000
Poison Broadsword,0,0,0,0,0,10013
Blood Broadsword,0,0,0,0,0,10013
Occult Broadsword,7,0,0,0,0,10013
Lordsworn's Straight Sword,0,0,0,0,0,10000
Lordsworn's Heavy Straight Sword,1,0,0,0,0,10000
Lordsworn's Keen Straight Sword,2,0,0,0,0,10000
Lordsworn's Quality Straight Sword,8,0,0,0,0,10000
Lordsworn's Fire Straight Sword,0,0,4,0,0,10005
Lordsworn's Flame Art Straight Sword,0,0,4,0,0,10000
Lordsworn's Lightning Straight Sword,0,0,0,4,0,10000
