Name,Weapon Name,Affinity (Dropdown),Affinity,Max Upgrade,Required (Str),Required (Dex),Required (Int),Required (Fai),Required (Arc),Physical Damage Type,Weight,Weapon Type,2H Dual-Wield,Reinforce Type ID
Dagger,Dagger,None,None,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,0
Heavy Dagger,Dagger,Heavy,Heavy,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,100
Keen Dagger,Dagger,Keen,Keen,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,5000
Quality Dagger,Dagger,Quality,Quality,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,300
Fire Dagger,Dagger,Fire,Fire,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,400
Flame Art Dagger,Dagger,Flame Art,Flame Art,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,500
Lightning Dagger,Dagger,Lightning,Lightning,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,600
Sacred Dagger,Dagger,Sacred,Sacred,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,700
Magic Dagger,Dagger,Magic,Magic,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,800
Cold Dagger,Dagger,Cold,Cold,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,900
Poison Dagger,Dagger,Poison,Poison,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,1000
Blood Dagger,Dagger,Blood,Blood,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,1100
Occult Dagger,Dagger,Occult,Occult,25,5,9,0,0,0,Slash/Pierce,1.5,Dagger,No,1200
Black Knife,Black Knife,None,-,10,8,12,0,18,0,Slash/Pierce,2,Dagger,No,2200
Parrying Dagger,Parrying Dagger,None,None,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,0
Heavy Parrying Dagger,Parrying Dagger,Heavy,Heavy,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,100
Keen Parrying Dagger,Parrying Dagger,Keen,Keen,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,5000
Quality Parrying Dagger,Parrying Dagger,Quality,Quality,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,300
Fire Parrying Dagger,Parrying Dagger,Fire,Fire,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,400
Flame Art Parrying Dagger,Parrying Dagger,Flame Art,Flame Art,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,500
Lightning Parrying Dagger,Parrying Dagger,Lightning,Lightning,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,600
Sacred Parrying Dagger,Parrying Dagger,Sacred,Sacred,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,700
Magic Parrying Dagger,Parrying Dagger,Magic,Magic,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,800
Cold Parrying Dagger,Parrying Dagger,Cold,Cold,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,900
Poison Parrying Dagger,Parrying Dagger,Poison,Poison,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,1000
Blood Parrying Dagger,Parrying Dagger,Blood,Blood,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,1100
Occult Parrying Dagger,Parrying Dagger,Occult,Occult,25,5,14,0,0,0,Slash/Pierce,1.5,Dagger,No,1200
Misericorde,Misericorde,None,None,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,0
Heavy Misericorde,Misericorde,Heavy,Heavy,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,100
Keen Misericorde,Misericorde,Keen,Keen,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,5000
Quality Misericorde,Misericorde,Quality,Quality,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,300
Fire Misericorde,Misericorde,Fire,Fire,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,400
Flame Art Misericorde,Misericorde,Flame Art,Flame Art,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,500
Lightning Misericorde,Misericorde,Lightning,Lightning,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,600
Sacred Misericorde,Misericorde,Sacred,Sacred,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,700
Magic Misericorde,Misericorde,Magic,Magic,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,800
Cold Misericorde,Misericorde,Cold,Cold,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,900
Poison Misericorde,Misericorde,Poison,Poison,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,1000
Blood Misericorde,Misericorde,Blood,Blood,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,1100
Occult Misericorde,Misericorde,Occult,Occult,25,7,12,0,0,0,Slash/Pierce,2,Dagger,No,1200
Reduvia,Reduvia,None,-,10,5,13,0,0,13,Slash/Pierce,2.5,Dagger,No,2200
Crystal Knife,Crystal Knife,None,-,25,8,12,9,0,0,Slash/Pierce,2,Dagger,No,0
Celebrant's Sickle,Celebrant's Sickle,None,None,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,0
Celebrant's Heavy Sickle,Celebrant's Sickle,Heavy,Heavy,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,100
Celebrant's Keen Sickle,Celebrant's Sickle,Keen,Keen,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,5000
Celebrant's Quality Sickle,Celebrant's Sickle,Quality,Quality,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,300
Celebrant's Fire Sickle,Celebrant's Sickle,Fire,Fire,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,400
Celebrant's Flame Art Sickle,Celebrant's Sickle,Flame Art,Flame Art,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,500
Celebrant's Lightning Sickle,Celebrant's Sickle,Lightning,Lightning,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,600
Celebrant's Sacred Sickle,Celebrant's Sickle,Sacred,Sacred,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,700
Celebrant's Magic Sickle,Celebrant's Sickle,Magic,Magic,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,800
Celebrant's Cold Sickle,Celebrant's Sickle,Cold,Cold,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,900
Celebrant's Poison Sickle,Celebrant's Sickle,Poison,Poison,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,1000
Celebrant's Blood Sickle,Celebrant's Sickle,Blood,Blood,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,1100
Celebrant's Occult Sickle,Celebrant's Sickle,Occult,Occult,25,6,11,0,0,0,Slash/Pierce,1.5,Dagger,No,1200
Glintstone Kris,Glintstone Kris,None,-,10,5,12,16,0,0,Slash/Pierce,1.5,Dagger,No,2200
Scorpion's Stinger,Scorpion's Stinger,None,-,10,6,12,0,0,0,Slash/Pierce,2.5,Dagger,No,2200
Great Knife,Great Knife,None,None,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,0
Heavy Great Knife,Great Knife,Heavy,Heavy,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,100
Keen Great Knife,Great Knife,Keen,Keen,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,5000
Quality Great Knife,Great Knife,Quality,Quality,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,300
Fire Great Knife,Great Knife,Fire,Fire,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,400
Flame Art Great Knife,Great Knife,Flame Art,Flame Art,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,500
Lightning Great Knife,Great Knife,Lightning,Lightning,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,600
Sacred Great Knife,Great Knife,Sacred,Sacred,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,700
Magic Great Knife,Great Knife,Magic,Magic,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,800
Cold Great Knife,Great Knife,Cold,Cold,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,900
Poison Great Knife,Great Knife,Poison,Poison,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,1000
Blood Great Knife,Great Knife,Blood,Blood,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,1100
Occult Great Knife,Great Knife,Occult,Occult,25,6,12,0,0,0,Slash/Pierce,1.5,Dagger,No,1200
Wakizashi,Wakizashi,None,None,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,0
Heavy Wakizashi,Wakizashi,Heavy,Heavy,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,100
Keen Wakizashi,Wakizashi,Keen,Keen,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,200
Quality Wakizashi,Wakizashi,Quality,Quality,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,300
Fire Wakizashi,Wakizashi,Fire,Fire,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,400
Flame Art Wakizashi,Wakizashi,Flame Art,Flame Art,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,500
Lightning Wakizashi,Wakizashi,Lightning,Lightning,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,600
Sacred Wakizashi,Wakizashi,Sacred,Sacred,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,700
Magic Wakizashi,Wakizashi,Magic,Magic,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,800
Cold Wakizashi,Wakizashi,Cold,Cold,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,900
Poison Wakizashi,Wakizashi,Poison,Poison,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,1000
Blood Wakizashi,Wakizashi,Blood,Blood,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,1100
Occult Wakizashi,Wakizashi,Occult,Occult,25,9,13,0,0,0,Slash/Pierce,3,Dagger,No,1200
Cinquedea,Cinquedea,None,-,10,10,10,0,0,0,Slash/Pierce,3.5,Dagger,No,2200
Ivory Sickle,Ivory Sickle,None,-,25,6,11,13,0,0,Slash/Pierce,2,Dagger,No,0
Bloodstained Dagger,Bloodstained Dagger,None,None,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,0
Heavy Bloodstained Dagger,Bloodstained Dagger,Heavy,Heavy,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,6000
Keen Bloodstained Dagger,Bloodstained Dagger,Keen,Keen,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,200
Quality Bloodstained Dagger,Bloodstained Dagger,Quality,Quality,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,300
Fire Bloodstained Dagger,Bloodstained Dagger,Fire,Fire,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,400
Flame Art Bloodstained Dagger,Bloodstained Dagger,Flame Art,Flame Art,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,500
Lightning Bloodstained Dagger,Bloodstained Dagger,Lightning,Lightning,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,600
Sacred Bloodstained Dagger,Bloodstained Dagger,Sacred,Sacred,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,700
Magic Bloodstained Dagger,Bloodstained Dagger,Magic,Magic,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,800
Cold Bloodstained Dagger,Bloodstained Dagger,Cold,Cold,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,900
Poison Bloodstained Dagger,Bloodstained Dagger,Poison,Poison,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,1000
Blood Bloodstained Dagger,Bloodstained Dagger,Blood,Blood,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,1100
Occult Bloodstained Dagger,Bloodstained Dagger,Occult,Occult,25,9,12,0,0,0,Slash/Pierce,2,Dagger,No,1200
Erdsteel Dagger,Erdsteel Dagger,None,None,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,0
Heavy Erdsteel Dagger,Erdsteel Dagger,Heavy,Heavy,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,100
Keen Erdsteel Dagger,Erdsteel Dagger,Keen,Keen,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,200
Quality Erdsteel Dagger,Erdsteel Dagger,Quality,Quality,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,300
Fire Erdsteel Dagger,Erdsteel Dagger,Fire,Fire,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,400
Flame Art Erdsteel Dagger,Erdsteel Dagger,Flame Art,Flame Art,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,500
Lightning Erdsteel Dagger,Erdsteel Dagger,Lightning,Lightning,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,600
Sacred Erdsteel Dagger,Erdsteel Dagger,Sacred,Sacred,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,700
Magic Erdsteel Dagger,Erdsteel Dagger,Magic,Magic,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,800
Cold Erdsteel Dagger,Erdsteel Dagger,Cold,Cold,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,900
Poison Erdsteel Dagger,Erdsteel Dagger,Poison,Poison,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,1000
Blood Erdsteel Dagger,Erdsteel Dagger,Blood,Blood,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,1100
Occult Erdsteel Dagger,Erdsteel Dagger,Occult,Occult,25,7,12,0,14,0,Slash/Pierce,2,Dagger,No,1200
Blade of Calling,Blade of Calling,None,-,10,6,13,0,15,0,Slash/Pierce,1.5,Dagger,No,2200
Longsword,Longsword,None,None,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,0
Heavy Longsword,Longsword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,100
Keen Longsword,Longsword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,200
Quality Longsword,Longsword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,300
Fire Longsword,Longsword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,400
Flame Art Longsword,Longsword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,500
Lightning Longsword,Longsword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,600
Sacred Longsword,Longsword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,700
Magic Longsword,Longsword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,800
Cold Longsword,Longsword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,900
Poison Longsword,Longsword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1000
Bloody Longsword,Longsword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1100
Occult Longsword,Longsword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,1200
Short Sword,Short Sword,None,None,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,0
Heavy Short Sword,Short Sword,Heavy,Heavy,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,100
Keen Short Sword,Short Sword,Keen,Keen,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,5000
Quality Short Sword,Short Sword,Quality,Quality,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,300
Fire Short Sword,Short Sword,Fire,Fire,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,400
Flame Art Short Sword,Short Sword,Flame Art,Flame Art,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,500
Lightning Short Sword,Short Sword,Lightning,Lightning,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,600
Sacred Short Sword,Short Sword,Sacred,Sacred,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,700
Magic Short Sword,Short Sword,Magic,Magic,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,800
Cold Short Sword,Short Sword,Cold,Cold,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,900
Poison Short Sword,Short Sword,Poison,Poison,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1000
Blood Short Sword,Short Sword,Blood,Blood,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1100
Occult Short Sword,Short Sword,Occult,Occult,25,8,10,0,0,0,Standard/Pierce,3,Straight Sword,No,1200
Broadsword,Broadsword,None,None,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,0
Heavy Broadsword,Broadsword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,6000
Keen Broadsword,Broadsword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,200
Quality Broadsword,Broadsword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,300
Fire Broadsword,Broadsword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,400
Flame Art Broadsword,Broadsword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,500
Lightning Broadsword,Broadsword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,600
Sacred Broadsword,Broadsword,Sacred,Sacred,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,700
Magic Broadsword,Broadsword,Magic,Magic,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,800
Cold Broadsword,Broadsword,Cold,Cold,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,900
Poison Broadsword,Broadsword,Poison,Poison,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,1000
Blood Broadsword,Broadsword,Blood,Blood,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,1100
Occult Broadsword,Broadsword,Occult,Occult,25,10,10,0,0,0,Standard/Pierce,4,Straight Sword,No,1200
Lordsworn's Straight Sword,Lordsworn's Straight Sword,None,None,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,0
Lordsworn's Heavy Straight Sword,Lordsworn's Straight Sword,Heavy,Heavy,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,100
Lordsworn's Keen Straight Sword,Lordsworn's Straight Sword,Keen,Keen,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,200
Lordsworn's Quality Straight Sword,Lordsworn's Straight Sword,Quality,Quality,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,300
Lordsworn's Fire Straight Sword,Lordsworn's Straight Sword,Fire,Fire,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,400
Lordsworn's Flame Art Straight Sword,Lordsworn's Straight Sword,Flame Art,Flame Art,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,500
Lordsworn's Lightning Straight Sword,Lordsworn's Straight Sword,Lightning,Lightning,25,10,10,0,0,0,Standard/Pierce,3.5,Straight Sword,No,600
