ID,Name,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,diseaseGuardResistRate,bloodGuardResistRate,curseGuardResistRate,staminaGuardDefRate,spEffectId1,spEffectId2,spEffectId3,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,materialSetId,maxReinforceLevel,darkAtkRate,darkGuardCutRate,correctLuckRate,freezeGuardDefRate,reinforcePriceRate,baseChangePriceRate,enableGemRank,pad2,sleepGuardDefRate,madnessGuardDefRate,baseAtkRate
0,Standard +0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,[0|0|0],1,1,1
1,Standard +1,1.058,1.058,1.058,1.058,1.04,1,1,1.02,1.02,1.04,1.04,1,1,1,1,1,1,1,1,1.01,1,1,0,0,0,0,1,1,1.058,1,1.04,1,1.2,1,0,[0|0|0],1,1,1.12
2,Standard +2,1.116,1.116,1.116,1.116,1.08,1,1,1.04,1.04,1.08,1.08,1,1,1,1,1,1,1,1,1.01,2,2,0,0,0,0,2,2,1.116,1,1.08,1,1.4,1,0,[0|0|0],1,1,1.24
3,Standard +3,1.174,1.174,1.174,1.174,1.12,1,1,1.06,1.06,1.12,1.12,1,1,1,1,1,1,1,1,1.02,3,3,0,0,0,0,3,3,1.174,1,1.12,1,1.6,1,0,[0|0|0],1,1,1.36
4,Standard +4,1.232,1.232,1.232,1.232,1.16,1,1,1.08,1.08,1.16,1.16,1,1,1,1,1,1,1,1,1.02,4,4,0,0,0,0,4,4,1.232,1,1.16,1,1.8,1,0,[0|0|0],1,1,1.48
5,Standard +5,1.29,1.29,1.29,1.29,1.2,1,1,1.1,1.1,1.2,1.2,1,1,1,1,1,1,1,1,1.03,5,5,0,0,0,0,5,5,1.29,1,1.2,1,2,1,0,[0|0|0],1,1,1.6
6,Standard +6,1.348,1.348,1.348,1.348,1.24,1,1,1.12,1.12,1.24,1.24,1,1,1,1,1,1,1,1,1.03,6,6,0,0,0,0,6,6,1.348,1,1.24,1,2.2,1,0,[0|0|0],1,1,1.72
7,Standard +7,1.406,1.406,1.406,1.406,1.28,1,1,1.14,1.14,1.28,1.28,1,1,1,1,1,1,1,1,1.04,7,7,0,0,0,0,7,7,1.406,1,1.28,1,2.4,1,0,[0|0|0],1,1,1.84
8,Standard +8,1.464,1.464,1.464,1.464,1.32,1,1,1.16,1.16,1.32,1.32,1,1,1,1,1,1,1,1,1.04,8,8,0,0,0,0,8,8,1.464,1,1.32,1,2.6,1,0,[0|0|0],1,1,1.96
9,Standard +9,1.522,1.522,1.522,1.522,1.36,1,1,1.18,1.18,1.36,1.36,1,1,1,1,1,1,1,1,1.04,9,9,0,0,0,0,9,9,1.522,1,1.36,1,2.8,1,0,[0|0|0],1,1,2.08
10,Standard +10,1.58,1.58,1.58,1.58,1.4,1,1,1.2,1.2,1.4,1.4,1,1,1,1,1,1,1,1,1.05,10,10,0,0,0,0,10,10,1.58,1,1.4,1,3,1,0,[0|0|0],1,1,2.2
11,Standard +11,1.638,1.638,1.638,1.638,1.44,1,1,1.22,1.22,1.43,1.43,1,1,1,1,1,1,1,1,1.05,11,11,0,0,0,0,11,11,1.638,1,1.43,1,3.2,1,0,[0|0|0],1,1,2.32
12,Standard +12,1.696,1.696,1.696,1.696,1.48,1,1,1.24,1.24,1.46,1.46,1,1,1,1,1,1,1,1,1.05,12,12,0,0,0,0,12,12,1.696,1,1.46,1,3.4,1,0,[0|0|0],1,1,2.44
13,Standard +13,1.754,1.754,1.754,1.754,1.52,1,1,1.26,1.26,1.49,1.49,1,1,1,1,1,1,1,1,1.06,13,13,0,0,0,0,13,13,1.754,1,1.49,1,3.6,1,0,[0|0|0],1,1,2.56
14,Standard +14,1.812,1.812,1.812,1.812,1.56,1,1,1.28,1.28,1.52,1.52,1,1,1,1,1,1,1,1,1.06,14,14,0,0,0,0,14,14,1.812,1,1.52,1,3.8,1,0,[0|0|0],1,1,2.68
15,Standard +15,1.87,1.87,1.87,1.87,1.6,1,1,1.3,1.3,1.55,1.55,1,1,1,1,1,1,1,1,1.06,15,15,0,0,0,0,15,15,1.87,1,1.55,1,4,1,0,[0|0|0],1,1,2.8
16,Standard +16,1.928,1.928,1.928,1.928,1.64,1,1,1.32,1.32,1.58,1.58,1,1,1,1,1,1,1,1,1.07,16,16,0,0,0,0,16,16,1.928,1,1.58,1,4.2,1,0,[0|0|0],1,1,2.92
17,Standard +17,1.986,1.986,1.986,1.986,1.68,1,1,1.34,1.34,1.61,1.61,1,1,1,1,1,1,1,1,1.07,17,17,0,0,0,0,17,17,1.986,1,1.61,1,4.4,1,0,[0|0|0],1,1,3.04
18,Standard +18,2.044,2.044,2.044,2.044,1.72,1,1,1.36,1.36,1.64,1.64,1,1,1,1,1,1,1,1,1.07,18,18,0,0,0,0,18,18,2.044,1,1.64,1,4.6,1,0,[0|0|0],1,1,3.16
19,Standard +19,2.102,2.102,2.102,2.102,1.76,1,1,1.38,1.38,1.67,1.67,1,1,1,1,1,1,1,1,1.08,19,19,0,0,0,0,19,19,2.102,1,1.67,1,4.8,1,0,[0|0|0],1,1,3.28
20,Standard +20,2.16,2.16,2.16,2.16,1.8,1,1,1.4,1.4,1.7,1.7,1,1,1,1,1,1,1,1,1.08,20,20,0,0,0,0,20,20,2.16,1,1.7,1,5,1,0,[0|0|0],1,1,3.4
21,Standard +21,2.218,2.218,2.218,2.218,1.84,1,1,1.42,1.42,1.72,1.72,1,1,1,1,1,1,1,1,1.08,21,21,0,0,0,0,21,21,2.218,1,1.72,1,5.2,1,0,[0|0|0],1,1,3.52
22,Standard +22,2.276,2.276,2.276,2.276,1.88,1,1,1.44,1.44,1.74,1.74,1,1,1,1,1,1,1,1,1.09,22,22,0,0,0,0,22,22,2.276,1,1.74,1,5.4,1,0,[0|0|0],1,1,3.64
23,Standard +23,2.334,2.334,2.334,2.334,1.92,1,1,1.46,1.46,1.76,1.76,1,1,1,1,1,1,1,1,1.09,23,23,0,0,0,0,23,23,2.334,1,1.76,1,5.6,1,0,[0|0|0],1,1,3.76
24,Standard +24,2.392,2.392,2.392,2.392,1.96,1,1,1.48,1.48,1.78,1.78,1,1,1,1,1,1,1,1,1.09,24,24,0,0,0,0,24,24,2.392,1,1.78,1,5.8,1,0,[0|0|0],1,1,3.88
25,Standard +25,2.45,2.45,2.45,2.45,2,1,1,1.5,1.5,1.8,1.8,1,1,1,1,1,1,1,1,1.1,25,25,0,0,0,0,25,25,2.45,1,1.8,1,6,1,0,[0|0|0],1,1,4
100,Heavy +0,0.95,0.95,0.95,0.95,1,1,1,1.8,0.1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0.95,1,1,1,1,1,0,[0|0|0],1,1,1
101,Heavy +1,1.006,1.006,1.006,1.006,1.04,1,1,1.85,0.13,1.04,1.04,1,1,1,1,1,1,1,1,1.01,1,1,0,0,0,0,1,1,1.006,1,1.04,1,1.2,1,0,[0|0|0],1,1,1.12
102,Heavy +2,1.062,1.062,1.062,1.062,1.08,1,1,1.9,0.16,1.08,1.08,1,1,1,1,1,1,1,1,1.01,2,2,0,0,0,0,2,2,1.062,1,1.08,1,1.4,1,0,[0|0|0],1,1,1.24
103,Heavy +3,1.118,1.118,1.118,1.118,1.12,1,1,1.95,0.19,1.12,1.12,1,1,1,1,1,1,1,1,1.02,3,3,0,0,0,0,3,3,1.118,1,1.12,1,1.6,1,0,[0|0|0],1,1,1.36
104,Heavy +4,1.174,1.174,1.174,1.174,1.16,1,1,2,0.22,1.16,1.16,1,1,1,1,1,1,1,1,1.02,4,4,0,0,0,0,4,4,1.174,1,1.16,1,1.8,1,0,[0|0|0],1,1,1.48
105,Heavy +5,1.23,1.23,1.23,1.23,1.2,1,1,2.05,0.25,1.2,1.2,1,1,1,1,1,1,1,1,1.03,5,5,0,0,0,0,5,5,1.23,1,1.2,1,2,1,0,[0|0|0],1,1,1.6
106,Heavy +6,1.286,1.286,1.286,1.286,1.24,1,1,2.1,0.28,1.24,1.24,1,1,1,1,1,1,1,1,1.03,6,6,0,0,0,0,6,6,1.286,1,1.24,1,2.2,1,0,[0|0|0],1,1,1.72
107,Heavy +7,1.342,1.342,1.342,1.342,1.28,1,1,2.15,0.31,1.28,1.28,1,1,1,1,1,1,1,1,1.04,7,7,0,0,0,0,7,7,1.342,1,1.28,1,2.4,1,0,[0|0|0],1,1,1.84
108,Heavy +8,1.398,1.398,1.398,1.398,1.32,1,1,2.2,0.34,1.32,1.32,1,1,1,1,1,1,1,1,1.04,8,8,0,0,0,0,8,8,1.398,1,1.32,1,2.6,1,0,[0|0|0],1,1,1.96
109,Heavy +9,1.454,1.454,1.454,1.454,1.36,1,1,2.25,0.37,1.36,1.36,1,1,1,1,1,1,1,1,1.04,9,9,0,0,0,0,9,9,1.454,1,1.36,1,2.8,1,0,[0|0|0],1,1,2.08
110,Heavy +10,1.51,1.51,1.51,1.51,1.4,1,1,2.3,0.4,1.4,1.4,1,1,1,1,1,1,1,1,1.05,10,10,0,0,0,0,10,10,1.51,1,1.4,1,3,1,0,[0|0|0],1,1,2.2
111,Heavy +11,1.566,1.566,1.566,1.566,1.44,1,1,2.34,0.42,1.43,1.43,1,1,1,1,1,1,1,1,1.05,11,11,0,0,0,0,11,11,1.566,1,1.43,1,3.2,1,0,[0|0|0],1,1,2.32
