Name,Str +0,Dex +0,Int +0,Fai +0,Arc +0,Str +1,Dex +1,Int +1,Fai +1,Arc +1,Str +2,Dex +2,Int +2,Fai +2,Arc +2,Str +3,Dex +3,Int +3,Fai +3,Arc +3,Str +4,Dex +4,Int +4,Fai +4,Arc +4,Str +5,Dex +5,Int +5,Fai +5,Arc +5,Str +6,Dex +6,Int +6,Fai +6,Arc +6,Str +7,Dex +7,Int +7,Fai +7,Arc +7,Str +8,Dex +8,Int +8,Fai +8,Arc +8,Str +9,Dex +9,Int +9,Fai +9,Arc +9,Str +10,Dex +10,Int +10,Fai +10,Arc +10,Str +11,Dex +11,Int +11,Fai +11,Arc +11,Str +12,Dex +12,Int +12,Fai +12,Arc +12,Str +13,Dex +13,Int +13,Fai +13,Arc +13,Str +14,Dex +14,Int +14,Fai +14,Arc +14,Str +15,Dex +15,Int +15,Fai +15,Arc +15,Str +16,Dex +16,Int +16,Fai +16,Arc +16,Str +17,Dex +17,Int +17,Fai +17,Arc +17,Str +18,Dex +18,Int +18,Fai +18,Arc +18,Str +19,Dex +19,Int +19,Fai +19,Arc +19,Str +20,Dex +20,Int +20,Fai +20,Arc +20,Str +21,Dex +21,Int +21,Fai +21,Arc +21,Str +22,Dex +22,Int +22,Fai +22,Arc +22,Str +23,Dex +23,Int +23,Fai +23,Arc +23,Str +24,Dex +24,Int +24,Fai +24,Arc +24,Str +25,Dex +25,Int +25,Fai +25,Arc +25
Dagger,0.35,0.65,0,0,0,0.357,0.663,0,0,0,0.364,0.676,0,0,0,0.371,0.689,0,0,0,0.378,0.702,0,0,0,0.385,0.715,0,0,0,0.392,0.728,0,0,0,0.399,0.741,0,0,0,0.406,0.754,0,0,0,0.413,0.767,0,0,0,0.42,0.78,0,0,0,0.427,0.793,0,0,0,0.434,0.806,0,0,0,0.441,0.819,0,0,0,0.448,0.832,0,0,0,0.455,0.845,0,0,0,0.462,0.858,0,0,0,0.469,0.871,0,0,0,0.476,0.884,0,0,0,0.483,0.897,0,0,0,0.49,0.91,0,0,0,0.497,0.923,0,0,0,0.504,0.936,0,0,0,0.511,0.949,0,0,0,0.518,0.962,0,0,0,0.525,0.975,0,0,0
Heavy Dagger,0.99,0,0,0,0,1.0175,0,0,0,0,1.045,0,0,0,0,1.0725,0,0,0,0,1.1,0,0,0,0,1.1275,0,0,0,0,1.155,0,0,0,0,1.1825,0,0,0,0,1.21,0,0,0,0,1.2375,0,0,0,0,1.265,0,0,0,0,1.287,0,0,0,0,1.309,0,0,0,0,1.331,0,0,0,0,1.353,0,0,0,0,1.375,0,0,0,0,1.397,0,0,0,0,1.419,0,0,0,0,1.441,0,0,0,0,1.463,0,0,0,0,1.485,0,0,0,0,1.496,0,0,0,0,1.507,0,0,0,0,1.518,0,0,0,0,1.529,0,0,0,0,1.54,0,0,0,0
Keen Dagger,0.1,1.05,0,0,0,0.106,1.085,0,0,0,0.112,1.12,0,0,0,0.118,1.155,0,0,0,0.124,1.19,0,0,0,0.13,1.225,0,0,0,0.136,1.26,0,0,0,0.142,1.295,0,0,0,0.148,1.33,0,0,0,0.154,1.365,0,0,0,0.16,1.4,0,0,0,0.168,1.428,0,0,0,0.176,1.456,0,0,0,0.184,1.484,0,0,0,0.192,1.512,0,0,0,0.2,1.54,0,0,0,0.208,1.568,0,0,0,0.216,1.596,0,0,0,0.224,1.624,0,0,0,0.232,1.652,0,0,0,0.24,1.68,0,0,0,0.244,1.694,0,0,0,0.248,1.708,0,0,0,0.252,1.722,0,0,0,0.256,1.736,0,0,0,0.26,1.75,0,0,0
Quality Dagger,0.63,0.63,0,0,0,0.6615,0.6615,0,0,0,0.693,0.693,0,0,0,0.7245,0.7245,0,0,0,0.756,0.756,0,0,0,0.7875,0.7875,0,0,0,0.819,0.819,0,0,0,0.8505,0.8505,0,0,0,0.882,0.882,0,0,0,0.9135,0.9135,0,0,0,0.945,0.945,0,0,0,0.9639,0.9639,0,0,0,0.9828,0.9828,0,0,0,1.0017,1.0017,0,0,0,1.0206,1.0206,0,0,0,1.0395,1.0395,0,0,0,1.0584,1.0584,0,0,0,1.0773,1.0773,0,0,0,1.0962,1.0962,0,0,0,1.1151,1.1151,0,0,0,1.134,1.134,0,0,0,1.1466,1.1466,0,0,0,1.1592,1.1592,0,0,0,1.1718,1.1718,0,0,0,1.1844,1.1844,0,0,0,1.197,1.197,0,0,0
Fire Dagger,0.611,0.05,0,0,0,0.6298,0.053,0,0,0,0.6486,0.056,0,0,0,0.6674,0.059,0,0,0,0.6862,0.062,0,0,0,0.705,0.065,0,0,0,0.7238,0.068,0,0,0,0.7426,0.071,0,0,0,0.7614,0.074,0,0,0,0.7802,0.077,0,0,0,0.799,0.08,0,0,0,0.8131,0.083,0,0,0,0.8272,0.086,0,0,0,0.8413,0.089,0,0,0,0.8554,0.092,0,0,0,0.8695,0.095,0,0,0,0.8836,0.098,0,0,0,0.8977,0.101,0,0,0,0.9118,0.104,0,0,0,0.9259,0.107,0,0,0,0.94,0.11,0,0,0,0.9494,0.112,0,0,0,0.9588,0.114,0,0,0,0.9682,0.116,0,0,0,0.9776,0.118,0,0,0,0.987,0.12,0,0,0
Flame Art Dagger,0.08,0.152,0,0.55,0,0.085,0.1615,0,0.5885,0,0.09,0.171,0,0.627,0,0.095,0.1805,0,0.6655,0,0.1,0.19,0,0.704,0,0.105,0.1995,0,0.7425,0,0.11,0.209,0,0.781,0,0.115,0.2185,0,0.8195,0,0.12,0.228,0,0.858,0,0.125,0.2375,0,0.8965,0,0.13,0.247,0,0.935,0,0.134,0.2546,0,0.9625,0,0.138,0.2622,0,0.99,0,0.142,0.2698,0,1.0175,0,0.146,0.2774,0,1.045,0,0.15,0.285,0,1.0725,0,0.154,0.2926,0,1.1,0,0.158,0.3002,0,1.1275,0,0.162,0.3078,0,1.155,0,0.166,0.3154,0,1.1825,0,0.17,0.323,0,1.21,0,0.172,0.3268,0,1.221,0,0.174,0.3306,0,1.232,0,0.176,0.3344,0,1.243,0,0.178,0.3382,0,1.254,0,0.18,0.342,0,1.265,0
Lightning Dagger,0.05,0.611,0,0,0,0.053,0.6298,0,0,0,0.056,0.6486,0,0,0,0.059,0.6674,0,0,0,0.062,0.6862,0,0,0,0.065,0.705,0,0,0,0.068,0.7238,0,0,0,0.071,0.7426,0,0,0,0.074,0.7614,0,0,0,0.077,0.7802,0,0,0,0.08,0.799,0,0,0,0.083,0.8131,0,0,0,0.086,0.8272,0,0,0,0.089,0.8413,0,0,0,0.092,0.8554,0,0,0,0.095,0.8695,0,0,0,0.098,0.8836,0,0,0,0.101,0.8977,0,0,0,0.104,0.9118,0,0,0,0.107,0.9259,0,0,0,0.11,0.94,0,0,0,0.112,0.9494,0,0,0,0.114,0.9588,0,0,0,0.116,0.9682,0,0,0,0.118,0.9776,0,0,0,0.12,0.987,0,0,0
Sacred Dagger,0.1,0.19,0,0.55,0,0.104,0.1976,0,0.5885,0,0.108,0.2052,0,0.627,0,0.112,0.2128,0,0.6655,0,0.116,0.2204,0,0.704,0,0.12,0.228,0,0.7425,0,0.124,0.2356,0,0.781,0,0.128,0.2432,0,0.8195,0,0.132,0.2508,0,0.858,0,0.136,0.2584,0,0.8965,0,0.14,0.266,0,0.935,0,0.143,0.2717,0,0.9625,0,0.146,0.2774,0,0.99,0,0.149,0.2831,0,1.0175,0,0.152,0.2888,0,1.045,0,0.155,0.2945,0,1.0725,0,0.158,0.3002,0,1.1,0,0.161,0.3059,0,1.1275,0,0.164,0.3116,0,1.155,0,0.167,0.3173,0,1.1825,0,0.17,0.323,0,1.21,0,0.172,0.3268,0,1.221,0,0.174,0.3306,0,1.232,0,0.176,0.3344,0,1.243,0,0.178,0.3382,0,1.254,0,0.18,0.342,0,1.265,0
Magic Dagger,0.08,0.152,0.56,0,0,0.083,0.1577,0.5992,0,0,0.086,0.1634,0.6384,0,0,0.089,0.1691,0.6776,0,0,0.092,0.1748,0.7168,0,0,0.095,0.1805,0.756,0,0,0.098,0.1862,0.7952,0,0,0.101,0.1919,0.8344,0,0,0.104,0.1976,0.8736,0,0,0.107,0.2033,0.9128,0,0,0.11,0.209,0.952,0,0,0.111,0.2109,0.98,0,0,0.112,0.2128,1.008,0,0,0.113,0.2147,1.036,0,0,0.114,0.2166,1.064,0,0,0.115,0.2185,1.092,0,0,0.116,0.2204,1.12,0,0,0.117,0.2223,1.148,0,0,0.118,0.2242,1.176,0,0,0.119,0.2261,1.204,0,0,0.12,0.228,1.232,0,0,0.122,0.2318,1.2488,0,0,0.124,0.2356,1.2656,0,0,0.126,0.2394,1.2824,0,0,0.128,0.2432,1.2992,0,0,0.13,0.247,1.316,0,0
Cold Dagger,0.31,0.58,0.52,0,0,0.3255,0.609,0.546,0,0,0.341,0.638,0.572,0,0,0.3565,0.667,0.598,0,0,0.372,0.696,0.624,0,0,0.3875,0.725,0.65,0,0,0.403,0.754,0.676,0,0,0.4185,0.783,0.702,0,0,0.434,0.812,0.728,0,0,0.4495,0.841,0.754,0,0,0.465,0.87,0.78,0,0,0.4743,0.8874,0.8008,0,0,0.4836,0.9048,0.8216,0,0,0.4929,0.9222,0.8424,0,0,0.5022,0.9396,0.8632,0,0,0.5115,0.957,0.884,0,0,0.5208,0.9744,0.9048,0,0,0.5301,0.9918,0.9256,0,0,0.5394,1.0092,0.9464,0,0,0.5487,1.0266,0.9672,0,0,0.558,1.044,0.988,0,0,0.5642,1.0556,0.9984,0,0,0.5704,1.0672,1.0088,0,0,0.5766,1.0788,1.0192,0,0,0.5828,1.0904,1.0296,0,0,0.589,1.102,1.04,0,0
